Time Stamp	ECG LL-RA	ECG LL-RA Filtered	Heart Rate
321360.9619140625	-0.9943408959318276	0.04526126541504164	55.4418814505668
321370.0561523438	-0.9957112068785676	0.04057456971202932	55.4418814505668
321379.150390625	-0.9856863004787327	0.04922984176160604	55.4418814505668
321388.2446289063	-0.9827293136989252	0.05778717849178847	55.4418814505668
321397.3388671875	-0.9788347457450326	0.05830261015218423	55.4418814505668
321406.4331054688	-0.9691704474890767	0.06707500038082039	55.4418814505668
321415.52734375	-0.929431430033616	0.09137323354476981	55.4418814505668
321424.6215820313	-0.7926888218747166	0.1845962868090813	55.4418814505668
321433.7158203125	-0.7531661693055832	0.2698173638984924	55.4418814505668
321442.8100585938	-1.647330122867837	-0.2316103138180665	55.4418814505668
321451.904296875	-2.241107492578923	-1.088281117393735	55.4418814505668
321460.9985351563	-2.375686451874548	-1.204864556874249	55.4418814505668
321470.0927734375	-2.50983268139752	-1.13079749385451	55.4418814505668
321479.1870117188	-2.407852698308551	-1.113073246042551	55.4418814505668
321488.28125	-1.7898424613288	-0.5172374100173909	55.4418814505668
321497.3754882813	-1.261912138690011	0.1371793133618934	55.4418814505668
321506.4697265625	-0.8767105193985129	0.5507196545181764	55.4418814505668
321515.5639648438	-0.8281005416036299	0.6909002149973613	55.4418814505668
321524.658203125	-0.7885057674057207	0.6476305738346599	55.4418814505668
321533.7524414063	-0.7567001291155969	0.6574523343178726	55.4418814505668
321542.8466796875	-0.7200623416974953	0.658145178227885	55.4418814505668
321551.9409179688	-0.6985700963223096	0.637897978501617	55.4418814505668
321561.03515625	-0.679097256552846	0.6229082946634694	55.4418814505668
321570.1293945313	-0.6345982115981832	0.6120650931576623	55.4418814505668
321579.2236328125	-0.6058938033454184	0.6096925750653808	55.4418814505668
321588.3178710938	-0.5863488419471791	0.5893339164043198	55.4418814505668
321597.412109375	-0.5637747721403567	0.5587160124865274	55.4418814505668
321606.5063476563	-0.5386043236976056	0.5493321399985005	55.4418814505668
321615.6005859375	-0.5238915114273443	0.5159085831828275	55.4418814505668
321624.6948242188	-0.4984325764694901	0.4971520288382425	55.4418814505668
321633.7890625	-0.4812676288208519	0.4731937141530175	55.4418814505668
321642.8833007813	-0.4172957440967255	0.4701738656218388	55.4418814505668
321651.9775390625	-0.3892404305029429	0.478553992899771	55.4418814505668
321661.0717773438	-0.3564250894099581	0.4490355918966061	55.4418814505668
321670.166015625	-0.3315431274823102	0.4341012346147489	55.4418814505668
321679.2602539063	-0.3075266250999719	0.4089009252491753	55.4418814505668
321688.3544921875	-0.2783173654457767	0.3857685961618702	55.4418814505668
321697.4487304688	-0.2631718234028606	0.3628581893513264	55.4418814505668
321706.54296875	-0.2965641375260517	0.299613350342287	55.4418814505668
321715.6372070313	-0.3356540603225303	0.2133782917274875	55.4418814505668
321724.7314453125	-0.3783500645577985	0.1381049396747175	55.4418814505668
321733.8256835938	-0.4382831380704806	0.05471377904100212	55.4418814505668
321742.919921875	-0.5014616848780734	-0.03547747968613612	55.4418814505668
321752.0141601563	-0.5745930164567252	-0.1198252628514379	55.4418814505668
321761.1083984375	-0.6426758340210718	-0.2032729127623139	55.4418814505668
321770.2026367188	-0.7473243173747441	-0.2931732191607498	55.4418814505668
321779.296875	-0.7777596447181279	-0.3598372324421376	55.4418814505668
321788.3911132813	-0.8048773771378253	-0.3651205256402534	55.4418814505668
321797.4853515625	-0.825287798081374	-0.3796304563640667	55.4418814505668
321806.5795898438	-0.8278120550885266	-0.3847796882225168	55.4418814505668
321815.673828125	-0.8334375421330383	-0.3654708458584033	55.4418814505668
321824.7680664063	-0.8322114744438499	-0.3664505094102776	55.4418814505668
321833.8623046875	-0.8343030016783478	-0.3481223811121512	55.4418814505668
321842.9565429688	-0.8377648398595858	-0.3433611306448067	55.4418814505668
321852.05078125	-0.8527661386449503	-0.342459020673518	55.4418814505668
321861.1450195313	-0.8570934363714977	-0.3380291633965074	55.4418814505668
321870.2392578125	-0.8579588959168072	-0.3298501581822613	55.4418814505668
321879.3334960938	-0.8526218953873987	-0.3091842571918516	55.4418814505668
321888.427734375	-0.8470685299716628	-0.2968446221167184	55.4418814505668
321897.5219726563	-0.8537037198190356	-0.2816342619733452	55.4418814505668
321906.6162109375	-0.8552182740233272	-0.2805019764900383	55.4418814505668
321915.7104492188	-0.8577425310304798	-0.2668458580427538	55.4418814505668
