Time Stamp	ECG LL-RA	ECG LL-RA Filtered	Heart Rate
346854.7058105469	7.71247061639674	0.06450830158783327	-1
346863.8000488281	8.160850782495832	0.3030872294567536	-1
346872.8942871094	8.838217119958058	0.9235905915664934	-1
346881.9885253906	8.398563670940838	0.9295485396261112	-1
346891.0827636719	7.915637244658142	0.1620993507668148	-1
346900.1770019531	7.641286568795034	-0.1347142505501483	-1
346909.2712402344	7.425354412240316	-0.2952068405594254	-1
346918.3654785156	7.425354412240316	-0.4292240853700692	-1
346927.4597167969	7.248007327080647	-0.3782445892947693	-1
346936.5539550781	7.169466873343811	-0.5655420900639037	-1
346945.6481933594	7.129799977517126	-0.5113047103201098	-1
346954.7424316406	7.083497891843068	-0.5006143262953724	-1
346963.8366699219	7.060274727377264	-0.5194597759047829	-1
346972.9309082031	7.055154091734182	-0.4291426270266726	-1
346982.0251464844	7.05363953752989	-0.4314608156966673	-1
346991.1193847656	6.987215517427387	-0.3784107603298981	-1
347000.2136230469	6.895116197480703	-0.453474098511667	-1
347009.3078613281	6.891365872784362	-0.4246346536235396	-1
347018.4020996094	6.875066384681033	-0.3673505637754887	-1
347027.4963378906	6.846794706200923	-0.3534306243450437	-1
347036.5905761719	6.810301162040373	-0.3236696400892822	-1
347045.6848144531	6.72757765383454	-0.3464073824937464	-1
347054.7790527344	6.594873856887086	-0.3943164874465777	-1
347063.8732910156	6.492965995426893	-0.4655029910714959	-1
347072.9675292969	6.528882566557237	-0.401355321816067	-1
347082.0617675781	6.519434633187609	-0.3105754130064995	-1
347091.1560058594	6.479551372474596	-0.2881319403899953	-1
347100.2502441406	6.467651303726591	-0.2596508943447137	-1
347109.3444824219	6.456472451266343	-0.1983050238637238	-1
347118.4387207031	6.441687517367306	-0.1628839770681219	-1
347127.5329589844	6.41882496104538	-0.1265258458069337	-1
347136.6271972656	6.417094041954761	-0.0833737917079501	-1
347145.7214355469	6.428272894415009	-0.02924550475205616	-1
347154.8156738281	6.431590489338695	0.0330965297637893	-1
