Time Stamp	ECG LL-RA	ECG LL-RA Filtered	Heart Rate
9.09423828125	-16.63232942012899	-0.1391153779928547	-1
18.1884765625	-16.62886758194776	-0.1375093670449827	-1
27.28271484375	-16.63232942012899	-0.1377821762209457	-1
36.376953125	-16.45159261841686	-0.04502232012753767	-1
45.47119140625	-16.32256702453697	0.1293537656340237	-1
54.5654296875	-16.23681440792256	0.1883839311387457	-1
63.65966796875	-16.19541659300525	0.2055966939678476	-1
72.75390625	-16.17940559141703	0.2094877325895808	-1
81.84814453125	-16.18474259194644	0.1613294495672544	-1
90.9423828125	-16.20565786429141	0.1297474219445114	-1
100.03662109375	-16.22707798803782	0.06900804313264106	-1
109.130859375	-16.2342901509154	0.03794851081650384	-1
118.22509765625	-16.24402657080013	0.009886942205412152	-1
127.3193359375	-16.24914720644322	-0.02239316147515668	-1
136.41357421875	-16.23551621860459	-0.02859193362533612	-1
145.5078125	-16.22895315038599	-0.04064324889694804	-1
154.60205078125	-16.21842339258473	-0.04597747320229755	-1
163.6962890625	-16.20810999966979	-0.058169029637856	-1
172.79052734375	-16.19938328258792	-0.06104827988821391	-1
181.884765625	-16.19520022811892	-0.07648372856199512	-1
190.97900390625	-16.18950261944564	-0.08604394725324799	-1
200.0732421875	-16.18164136190908	-0.09489694242856045	-1
209.16748046875	-16.18560805149174	-0.1093548435214865	-1
218.26171875	-16.18726684895359	-0.1260552245372772	-1
227.35595703125	-16.18351652425725	-0.1394223434179021	-1
236.4501953125	-16.18517532171909	-0.145558775677171	-1
245.54443359375	-16.19152202505136	-0.1662823256917668	-1
254.638671875	-16.2018354179663	-0.1808402053940518	-1
263.73291015625	-16.20111420167854	-0.1958250429815002	-1
272.8271484375	-16.20551362103386	-0.2009993241549333	-1
281.92138671875	-16.20731666175326	-0.2113365357553772	-1
291.015625	-16.20962455387408	-0.2188321263458191	-1
300.10986328125	-16.21510579766104	-0.2242076968230669	-1
309.2041015625	-16.2113554729647	-0.2315978415851872	-1
318.29833984375	-16.21525004091859	-0.2288277752664201	-1
327.392578125	-16.23501136720316	-0.2476381236194998	-1
336.48681640625	-16.23032346133273	-0.2546826205207506	-1
345.5810546875	-16.14168597956729	-0.1987231570307778	-1
354.67529296875	-16.1383683846436	-0.1472686867213342	-1
363.76953125	-16.14853753430099	-0.1791856165872329	-1
372.86376953125	-16.17515041531926	-0.2018692110950439	-1
381.9580078125	-16.20767726989714	-0.2270409068378067	-1
391.05224609375	-16.2271501096666	-0.2619645715961231	-1
400.146484375	-16.22260644705373	-0.249438082083174	-1
409.24072265625	-16.22455373103067	-0.2495455763879178	-1
418.3349609375	-16.22729435292415	-0.2443116544063732	-1
427.42919921875	-16.22671737989395	-0.2421129085737978	-1
436.5234375	-16.22678950152272	-0.2357212333595803	-1
445.61767578125	-16.22195735239474	-0.225989008073301	-1
454.7119140625	-16.21503367603227	-0.216994995100299	-1
463.80615234375	-16.21467306788839	-0.2038556149234573	-1
472.900390625	-16.24438717894401	-0.220392352355523	-1
481.99462890625	-16.22642889337884	-0.2176640575833732	-1
491.0888671875	-15.66669293244993	0.1032319504760121	-1
500.18310546875	-14.64472945269698	0.9746296381700821	-1
509.27734375	-13.94024538281505	1.754770755448035	-1
518.37158203125	-14.70300372874781	1.391019648789996	-1
527.4658203125	-15.98539841001015	-0.007826221093007041	-1
536.56005859375	-16.04987514613571	-0.640126987359148	-1
545.654296875	-16.087739001243	-0.3678222905264401	-1
554.74853515625	-16.12560285635029	-0.5083244899609594	-1
563.8427734375	-16.13735868184074	-0.5046069039999799	-1
572.93701171875	-16.14370538517301	-0.4355544437693066	-1
582.03125	-16.14132537142341	-0.493582260249645	-1
591.12548828125	-16.13079561362214	-0.3895625856909118	-1
600.2197265625	-16.1362768574091	-0.428728294197732	-1
609.31396484375	-16.119905247677	-0.3668250186618441	-1
618.408203125	-16.08918143381851	-0.3384247173767077	-1
627.50244140625	-16.07764197321439	-0.3017864388205339	-1
636.5966796875	-16.06228006628514	-0.4964812491938888	-1
645.69091796875	-16.04749513238611	-0.7548846593867602	-1
654.78515625	-16.02629137352602	-0.5745545457111851	-1
663.87939453125	-16.00862157447595	-0.5697308708203133	-1
672.9736328125	-15.99434149197835	-0.5522481249743356	-1
682.06787109375	-15.94241391925978	-0.4551552608503942	-1
691.162109375	-15.92488836346726	-0.4460559050228836	-1
700.25634765625	-15.90476642903882	-0.379706702476	-1
709.3505859375	-15.87512443961197	-0.3693021931902176	-1
718.44482421875	-15.85997889756905	-0.3136197806784212	-1
727.5390625	-15.84988186954044	-0.3029181891959936	-1
736.63330078125	-15.84504972041246	-0.2857368521463511	-1
745.7275390625	-15.83675573310324	-0.2589494217145398	-1
754.82177734375	-15.82723567810484	-0.253164657825406	-1
763.916015625	-15.83682785473202	-0.225624931128734	-1
773.01025390625	-15.86538801972723	-0.2538443784306829	-1
782.1044921875	-15.90974282142435	-0.2643257049115564	-1
791.19873046875	-15.96087705622638	-0.3040730778056162	-1
800.29296875	-16.01374221011903	-0.3286441836658409	-1
809.38720703125	-16.0653812963225	-0.3521758932366739	-1
818.4814453125	-16.14961935873263	-0.3931936981870217	-1
827.57568359375	-16.17551102346313	-0.4072897136333122	-1
836.669921875	-16.17753042906886	-0.3755876907532145	-1
845.76416015625	-16.18063165910622	-0.3283478659410745	-1
854.8583984375	-16.18741109221114	-0.3093726715617712	-1
863.95263671875	-16.18733897058236	-0.263688386127329	-1
873.046875	-16.18748321383992	-0.2348170907527822	-1
882.14111328125	-16.18200197005296	-0.1916119805456629	-1
891.2353515625	-16.18084802399254	-0.1550989972888413	-1
